shop_id,label
s_774995,58
s_712117,53
s_635423,27
s_739312,55
s_3140371,71
s_3101804,70
s_683053,32
s_3328792,75
s_470182,4
s_991943,60
s_473565,7
s_683674,35
s_557771,22
s_1466124,66
s_622845,26
s_3167757,72
s_592650,24
s_521874,17
s_1114306,63
s_3791261,84
s_681760,30
s_709290,51
s_683217,33
s_684555,43
s_684547,42
s_478200,9
s_461325,1
s_3724181,82
s_570408,23
s_479529,11
s_710741,52
s_1488950,67
s_769794,57
s_503457,13
s_685058,44
s_683671,34
s_534067,19
s_503249,12
s_2230096,68
s_3812635,85
s_539726,20
s_694816,46
s_3621982,80
s_766869,56
s_679110,29
s_735757,54
s_3257365,73
s_604425,25
s_683832,38
s_465792,2
s_1444403,64
s_473743,8
s_505726,15
s_3284083,74
s_509650,16
s_546469,21
s_809873,59
s_683821,37
s_472478,6
s_3716980,81
s_696015,47
s_505087,14
s_470352,5
s_528544,18
s_683985,39
s_662370,28
s_2248290,69
s_3744077,83
s_3832595,86
s_992598,61
s_3382317,77
s_685227,45
s_3421010,78
s_3446229,79
s_696567,49
s_3847867,87
s_1093389,62
s_3332885,76
s_684235,40
s_698556,50
s_479486,10
s_683678,36
s_466068,3
s_454451,0
s_684245,41
s_1462898,65
s_682074,31
s_696563,48
s_3991685,88
